date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:55	69/69	U--MCZ	200	updated ('OK')	text/plain	date:Fri,%2020%20Dec%202019%2017:00:56%20GMT	https://lana.ws/robots.txt		(from )
20:00:55	44798/44798	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Dec%202019%2017:00:56%20GMT	https://lana.ws/ar/	F:/DAZZLE/dprm/lana.ws/ar/index.html	(from )
20:01:10	2206/2206	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:37:00%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon76.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon76.png	(from https://lana.ws/ar/)
20:01:10	3305/3305	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon114.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon114.png	(from https://lana.ws/ar/)
20:01:10	1665/1665	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:59%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon57.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon57.png	(from https://lana.ws/ar/)
20:01:10	2047/2047	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:59%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon72.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon72.png	(from https://lana.ws/ar/)
20:01:10	3325/3325	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon120.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon120.png	(from https://lana.ws/ar/)
20:01:10	8851/8851	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2014%20Jul%202019%2009:25:02%20GMT	https://lana.ws/ar/xmlrpc.php?rsd	F:/DAZZLE/dprm/lana.ws/ar/xmlrpc0db0.php	(from https://lana.ws/ar/)
20:01:11	4081/4081	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon144.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon144.png	(from https://lana.ws/ar/)
20:01:11	4329/4329	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon152.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon152.png	(from https://lana.ws/ar/)
20:01:11	5598/5598	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/favicon.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/favicon.png	(from https://lana.ws/ar/)
20:01:11	4081/4081	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:36:51%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/favicon-144.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/favicon-144.png	(from https://lana.ws/ar/)
20:01:11	1217/1217	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:35:51%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/mapmarker.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/mapmarker.png	(from https://lana.ws/ar/)
20:01:12	34230/34230	U-----	200	untouched ('')	application/rss+xml	etag:W/%22087006f058228bd3e5509b8b3c6b95c7%22	https://lana.ws/ar/feed/	F:/DAZZLE/dprm/lana.ws/ar/feed/index.html	(from https://lana.ws/ar/)
20:01:36	1685/1685	U-----	200	untouched ('OK')	text/css	date:Fri,%2024%20May%202019%2005:25:13%20GMT	https://lana.ws/ar/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	F:/DAZZLE/dprm/lana.ws/ar/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from https://lana.ws/ar/)
20:01:36	29289/29289	U-----	200	untouched ('OK')	text/css	date:Fri,%2024%20May%202019%2005:24:57%20GMT	https://lana.ws/ar/wp-includes/css/dist/block-library/style-rtl.min.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-includes/css/dist/block-library/style-rtl.min6619.css	(from https://lana.ws/ar/)
20:01:36	177/177	U-----	200	untouched ('OK')	text/css	date:Fri,%2024%20May%202019%2005:25:13%20GMT	https://lana.ws/ar/wp-content/plugins/contact-form-7/includes/css/styles-rtl.css?ver=5.1.3	F:/DAZZLE/dprm/lana.ws/ar/wp-content/plugins/contact-form-7/includes/css/styles-rtlbdeb.css	(from https://lana.ws/ar/)
20:01:42	711/711	U--MCZ	200	updated ('OK')	application/rss+xml	etag:W/%22ba785be90c5db1a3ec6c054b9dafd388%22	https://lana.ws/ar/comments/feed/	F:/DAZZLE/dprm/lana.ws/ar/comments/feed/index.html	(from https://lana.ws/ar/)
20:02:01	3724/3724	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:56%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/jquery.fullpage.min.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/jquery.fullpage.min6619.css	(from https://lana.ws/ar/)
20:02:01	121905/121905	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:58%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/bootstrap.rtl.min.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/bootstrap.rtl.min6619.css	(from https://lana.ws/ar/)
20:02:01	31000/31000	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:56%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/font-awesome.min.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/font-awesome.min6619.css	(from https://lana.ws/ar/)
20:02:07	52789/52789	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:54%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/animate.min.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/animate.min6619.css	(from https://lana.ws/ar/)
20:02:07	4614/4614	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:58%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/owl.carousel.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/owl.carousel6619.css	(from https://lana.ws/ar/)
20:02:07	1307/1307	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:58%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/jssocials.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/jssocials6619.css	(from https://lana.ws/ar/)
20:02:08	1764/1764	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:58%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/css/jssocials-theme-plain.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/css/jssocials-theme-plain6619.css	(from https://lana.ws/ar/)
20:02:32	40590/40590	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/lana.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/lana6619.css	(from https://lana.ws/ar/)
20:02:32	9375/9375	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/responsive.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/responsive6619.css	(from https://lana.ws/ar/)
20:02:32	96873/96873	U-----	200	untouched ('')	application/javascript	date:Fri,%2024%20May%202019%2005:24:56%20GMT	https://lana.ws/ar/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	F:/DAZZLE/dprm/lana.ws/ar/wp-includes/js/jquery/jquery4a5f.js	(from https://lana.ws/ar/)
20:02:32	6749/6749	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/style.css?ver=5.2.5	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/style6619.css	(from https://lana.ws/ar/)
20:02:57	10056/10056	U-----	200	untouched ('')	application/javascript	date:Fri,%2020%20May%202016%2014:11:28%20GMT	https://lana.ws/ar/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	F:/DAZZLE/dprm/lana.ws/ar/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://lana.ws/ar/)
20:02:57	1045/1045	U-----	200	untouched ('')	application/xml	date:Thu,%2012%20Dec%202013%2003:49:10%20GMT	https://lana.ws/ar/wp-includes/wlwmanifest.xml	F:/DAZZLE/dprm/lana.ws/ar/wp-includes/wlwmanifest.xml	(from https://lana.ws/ar/)
20:02:58	5280/5280	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Sep%202019%2020:34:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/rtl.css	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/rtl.css	(from https://lana.ws/ar/)
20:02:58	325932/325932	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:37:49%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/slides/slide01rtl.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/slides/slide01rtl.png	(from https://lana.ws/ar/)
20:02:58	134408/134408	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Sep%202019%2020:37:24%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/slides/slide02rtl.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/slides/slide02rtl.png	(from https://lana.ws/ar/)
20:02:58	145529/145529	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2020%20Dec%202019%2017:02:35%20GMT	https://lana.ws/ar/wp-json/	F:/DAZZLE/dprm/lana.ws/ar/wp-json/index.html	(from https://lana.ws/ar/)
20:02:59	831/831	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:35:50%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/box-bg.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/box-bg.svg	(from https://lana.ws/ar/)
20:02:59	831/831	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2021%20Sep%202019%2020:36:36%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/boxs/b1.svg	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/boxs/b1.svg	(from https://lana.ws/ar/)
