date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:44	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2020%20Dec%202019%2016:21:45%20GMT	https://lana.ws/robots.txt		(from )
19:21:45	44748/44748	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202019%2016:21:45%20GMT	https://lana.ws/ar/	F:/DAZZLE/dprm/lana.ws/ar/index.html	(from )
19:21:45	1665/1665	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:59%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon57.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon57.png	(from https://lana.ws/ar/)
19:21:45	2047/2047	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:59%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon72.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon72.png	(from https://lana.ws/ar/)
19:21:45	2206/2206	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:37:00%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon76.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon76.png	(from https://lana.ws/ar/)
19:21:46	3305/3305	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon114.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon114.png	(from https://lana.ws/ar/)
19:21:46	3325/3325	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon120.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon120.png	(from https://lana.ws/ar/)
19:21:46	4081/4081	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon144.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon144.png	(from https://lana.ws/ar/)
19:21:46	4329/4329	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:53%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/icon152.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/icon152.png	(from https://lana.ws/ar/)
19:21:46	5598/5598	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Sep%202019%2020:36:52%20GMT	https://lana.ws/ar/wp-content/themes/lana2018/images/icons/favicon.png	F:/DAZZLE/dprm/lana.ws/ar/wp-content/themes/lana2018/images/icons/favicon.png	(from https://lana.ws/ar/)
